card,turns
Flame Imp,4
Grimscale Oracle,4
Murloc Tidecaller,4
Timber Wolf,4
Abusive Sergeant,5
Dust Devil,5
Knife Juggler,5
Leper Gnome,5
Mind Blast,5
Murloc Raider,5
Southsea Deckhand,5
Voodoo Doctor,5
Worgen Infiltrator,5
Young Priestess,5
Acidic Swamp Ooze,6
Animal Companion,6
Arcane Golem,6
Arcane Missiles,6
Bloodfen Raptor,6
Bluegill Warrior,6
Cruel Taskmaster,6
Defias Ringleader,6
Dire Wolf Alpha,6
Faerie Dragon,6
Flametongue Totem,6
Heroic Strike,6
Ice Lance,6
King Mukla,6
Lightning Bolt,6
Mad Bomber,6
Magma Rager,6
Mana Wyrm,6
Master Swordsmith,6
Millhouse Manastorm,6
Murloc Tidehunter,6
Murloc Warleader,6
Pint-Sized Summoner,6
Rockbiter Weapon,6
Sinister Strike,6
Sorcerer's Apprentice,6
Soulfire,6
Southsea Captain,6
Stonetusk Boar,6
Succubus,6
Wisp,6
Wolfrider,6
Aldor Peacekeeper,7
Amani Berserker,7
Angry Chicken,7
Anub'ar Ambusher,7
Argent Protector,7
Argent Squire,7
Big Game Hunter,7
Blood Knight,7
Bloodsail Corsair,7
Bloodsail Raider,7
Crazed Alchemist,7
Dancing Swords,7
Dark Iron Dwarf,7
Demolisher,7
Doomguard,7
Earthen Ring Farseer,7
Eviscerate,7
Felguard,7
Fireball,7
Flare,7
Frostbolt,7
Frostwolf Grunt,7
Frothing Berserker,7
Goldshire Footman,7
Hungry Crab,7
Injured Blademaster,7
Ironbeak Owl,7
Ironfur Grizzly,7
Jungle Panther,7
Kirin Tor Mage,7
Kobold Geomancer,7
Kor'kron Elite,7
Lightspawn,7
Lightwarden,7
Loot Hoarder,7
Mana Wraith,7
Mind Control Tech,7
Mountain Giant,7
Northshire Cleric,7
Old Murk-Eye,7
Pit Lord,7
Questing Adventurer,7
Raging Worgen,7
Raid Leader,7
River Crocolisk,7
Scarlet Crusader,7
Scavenging Hyena,7
Secretkeeper,7
Shattered Sun Cleric,7
SI:7 Agent,7
Starving Buzzard,7
Sunfury Protector,7
Upgrade!,7
Voidwalker,7
Warsong Commander,7
Webspinner,7
Young Dragonhawk,7
Arathi Weaponsmith,8
Auchenai Soulpriest,8
Booty Bay Bodyguard,8
Captain Greenskin,8
Chillwind Yeti,8
Coldlight Oracle,8
Coldlight Seer,8
Cult Master,8
Deathlord,8
Defender of Argus,8
Dragonling Mechanic,8
Dread Corsair,8
Druid of the Claw,8
Edwin VanCleef,8
Elite Tauren Chieftain,8
Emperor Cobra,8
Ethereal Arcanist,8
Feral Spirit,8
Flesheating Ghoul,8
Harrison Jones,8
Harvest Golem,8
Houndmaster,8
Ironforge Rifleman,8
Lava Burst,8
Loatheb,8
Mana Addict,8
Master of Disguise,8
Mind Vision,8
Nightblade,8
Ogre Magi,8
Razorfen Hunter,8
Reckless Rocketeer,8
Sen'jin Shieldmasta,8
Silver Hand Knight,8
Silvermoon Guardian,8
Spellbreaker,8
Stormwind Knight,8
Stranglethorn Tiger,8
Tauren Warrior,8
Thrallmar Farseer,8
Tinkmaster Overspark,8
Twilight Drake,8
Unbound Elemental,8
